ARTISTIC_ENTITY,GENDER,NATIONALITY,OBJECT_TITLE,OBJECT_DATE,PRIMARY_MEDIUM,ACCESSION_YEAR,OBJECT_TYPE
Red Grooms,Male,American,Chance Encounter at 3 A.M.,1984-01-01T00:00:00Z,Oil,1984-01-01T00:00:00Z,Painting
Red Grooms,Male,American,Our Terrace,1961-01-01T00:00:00Z,Oil,1994-01-01T00:00:00Z,Painting
Red Grooms,Male,American,Derain and Poiret,1998-01-01T00:00:00Z,Oil,2007-01-01T00:00:00Z,Painting
Red Grooms,Male,American,Ryder's Room,1991-01-01T00:00:00Z,Painted Materials,1997-01-01T00:00:00Z,Painting
Red Grooms,Male,American,Deco Tango,1962-01-01T00:00:00Z,Aluminum,1999-01-01T00:00:00Z,Sculpture
Reg Butler,Male,British,Girl on a Round Base,1964-01-01T00:00:00Z,Bronze,2002-01-01T00:00:00Z,Sculpture
Reg Butler,Male,British,Torso,1955-01-01T00:00:00Z,Bronze,1980-01-01T00:00:00Z,Sculpture
Reg Butler,Male,British,Torso,1955-01-01T00:00:00Z,Bronze,1980-01-01T00:00:00Z,Sculpture
Reginald Marsh,Male,American,The Bowery,1930-01-01T00:00:00Z,Tempera,1932-01-01T00:00:00Z,Painting
Reginald Pollack,Male,American,Interior,1958-01-01T00:00:00Z,Oil,1993-01-01T00:00:00Z,Painting
Reginald Wilson,Male,American,Country Store,1939-01-01T00:00:00Z,Gouache,1943-01-01T00:00:00Z,Painting
Reginald Wilson,Male,American,Horse and Buggy,Null,Oil,1943-01-01T00:00:00Z,Painting
Remo Farruggio,Male,American,Still Life,1952-01-01T00:00:00Z,Casein,1953-01-01T00:00:00Z,Painting
Remo Farruggio,Male,American,Basin Street,1938-01-01T00:00:00Z,Oil,1943-01-01T00:00:00Z,Painting
Rene Buthaud,Male,French,Study for Athlete Motif on a Monumental Urn,1937-01-01T00:00:00Z,Gouache,2011-01-01T00:00:00Z,Painting
Rene Magritte,Male,Belgian,The Eternally Obvious,1948-01-01T00:00:00Z,Oil,2002-01-01T00:00:00Z,Painting
Rene Buthaud,Male,French,Statuette,1935-01-01T00:00:00Z,Earthenware,1993-01-01T00:00:00Z,Sculpture
Rene Paul Chambellan,Male,American,In Triumph Shall Wave,1945-01-01T00:00:00Z,Bronze,1945-01-01T00:00:00Z,Sculpture
Reuben Nakian,Male,American,Europa and the Bull,1964-01-01T00:00:00Z,Terracotta,1984-01-01T00:00:00Z,Sculpture
